Detectado,Acuracia
person, 0.9913
person, 0.9974
person, 0.9959
person, 0.9963
person, 0.9969
person, 0.9955
person, 0.9902
person, 0.9906
person, 0.9830
person, 0.9716
person, 0.9981
person, 0.9964
person, 0.9971
person, 0.9978
person, 0.9980
person, 0.9962
bottle, 0.5827
person, 0.9943
person, 0.9952
person, 0.9919
person, 0.9994
bottle, 0.9817
person, 0.9996
bottle, 0.9878
laptop, 0.7287
chair, 0.6206
person, 0.9987
bottle, 0.9661
laptop, 0.8169
chair, 0.6377
chair, 0.5951
person, 0.9918
bottle, 0.9788
chair, 0.8342
laptop, 0.6476
chair, 0.6125
person, 0.9948
bottle, 0.9172
chair, 0.7282
chair, 0.6206
laptop, 0.5516
person, 0.9945
bottle, 0.7887
chair, 0.6611
person, 0.9991
bottle, 0.7949
laptop, 0.6442
person, 0.9983
bottle, 0.9463
chair, 0.6147
person, 0.9871
bottle, 0.9803
person, 0.9845
bottle, 0.8021
person, 0.9902
bottle, 0.9455
chair, 0.7506
chair, 0.5656
person, 0.9899
bottle, 0.9438
chair, 0.6813
person, 0.9886
bottle, 0.9567
laptop, 0.7129
chair, 0.5048
person, 0.9829
bottle, 0.8734
chair, 0.6125
person, 0.9831
bottle, 0.9408
mouse, 0.6808
chair, 0.5616
person, 0.9883
bottle, 0.9747
chair, 0.8062
chair, 0.5489
bottle, 0.9574
person, 0.9544
person, 0.9860
bottle, 0.9736
chair, 0.5423
chair, 0.5399
bottle, 0.9838
person, 0.9740
laptop, 0.5641
bottle, 0.9906
person, 0.9593
chair, 0.6356
chair, 0.6243
bottle, 0.9775
person, 0.9605
chair, 0.6335
bottle, 0.9756
person, 0.9667
laptop, 0.5170
bottle, 0.9817
person, 0.9715
bottle, 0.9760
person, 0.9643
person, 0.9754
bottle, 0.9591
person, 0.9981
bottle, 0.9804
chair, 0.6905
person, 0.9985
bottle, 0.9509
chair, 0.7764
person, 0.9980
chair, 0.9312
bottle, 0.8525
person, 0.9770
bottle, 0.9728
chair, 0.6512
person, 0.9961
bottle, 0.9153
person, 0.9975
bottle, 0.9571
refrigerator, 0.7319
person, 0.9950
bottle, 0.9661
refrigerator, 0.6400
laptop, 0.5600
person, 0.9961
bottle, 0.9490
person, 0.9967
bottle, 0.9416
person, 0.9968
bottle, 0.9601
chair, 0.6041
person, 0.9881
bottle, 0.9231
chair, 0.5028
bottle, 0.9843
person, 0.9119
laptop, 0.6955
chair, 0.5177
bottle, 0.9772
person, 0.9519
bottle, 0.9758
chair, 0.5678
bottle, 0.9562
chair, 0.5192
bottle, 0.9806
person, 0.8960
laptop, 0.5795
person, 0.9592
bottle, 0.9567
bottle, 0.9723
person, 0.9487
bottle, 0.9556
person, 0.7428
laptop, 0.5520
bottle, 0.9020
laptop, 0.8394
laptop, 0.6549
person, 0.5969
bottle, 0.9569
person, 0.8648
laptop, 0.5300
bottle, 0.9745
person, 0.8557
laptop, 0.7357
laptop, 0.6648
bottle, 0.9283
person, 0.9237
laptop, 0.8460
laptop, 0.6017
person, 0.9770
bottle, 0.9276
laptop, 0.6349
laptop, 0.5008
person, 0.9830
bottle, 0.9595
laptop, 0.8939
person, 0.9560
bottle, 0.9428
laptop, 0.6879
bottle, 0.8760
laptop, 0.8439
person, 0.8128
laptop, 0.7309
person, 0.9533
bottle, 0.8837
laptop, 0.8782
person, 0.9686
bottle, 0.8355
person, 0.9880
bottle, 0.9209
laptop, 0.8594
laptop, 0.6342
person, 0.9956
laptop, 0.9519
bottle, 0.9498
laptop, 0.6233
person, 0.9984
bottle, 0.9424
laptop, 0.5474
person, 0.9984
bottle, 0.9565
person, 0.9973
bottle, 0.9302
chair, 0.5583
person, 0.9814
bottle, 0.9784
laptop, 0.6903
bottle, 0.9715
bottle, 0.9841
bottle, 0.9609
chair, 0.5607
laptop, 0.5358
bottle, 0.9670
bottle, 0.9601
laptop, 0.5267
chair, 0.5094
bottle, 0.9717
laptop, 0.5338
chair, 0.5064
bottle, 0.9723
bottle, 0.9720
chair, 0.5333
bottle, 0.9697
chair, 0.5053
bottle, 0.9682
bottle, 0.9623
chair, 0.6140
chair, 0.5716
bottle, 0.9733
bottle, 0.9712
chair, 0.5850
bottle, 0.9701
bottle, 0.9640
chair, 0.5577
bottle, 0.9700
bottle, 0.9700
chair, 0.6591
person, 0.9761
bottle, 0.9519
chair, 0.5609
person, 0.9955
bottle, 0.8341
person, 0.9939
bottle, 0.9287
chair, 0.7253
person, 0.9993
bottle, 0.9611
person, 0.9969
bottle, 0.9232
person, 0.9771
bottle, 0.9531
chair, 0.7321
person, 0.9896
bottle, 0.9154
laptop, 0.6861
chair, 0.6742
person, 0.9889
bottle, 0.9258
chair, 0.8860
person, 0.9935
bottle, 0.9177
chair, 0.7624
person, 0.9997
bottle, 0.9587
chair, 0.8721
chair, 0.5536
person, 0.9951
chair, 0.9840
bottle, 0.9431
person, 0.9965
chair, 0.9762
bottle, 0.8890
person, 0.9995
bottle, 0.9743
person, 0.9998
bottle, 0.9748
person, 0.9995
bottle, 0.9608
person, 0.9939
bottle, 0.9669
chair, 0.7033
person, 0.9967
bottle, 0.9671
chair, 0.7914
chair, 0.5945
person, 0.9992
bottle, 0.9716
person, 0.9977
bottle, 0.9522
person, 0.9967
bottle, 0.9489
person, 0.9965
bottle, 0.9460
chair, 0.6184
person, 0.9921
bottle, 0.9872
chair, 0.6791
person, 0.9916
bottle, 0.9732
person, 0.9972
bottle, 0.9810
chair, 0.9348
person, 0.9950
bottle, 0.9720
chair, 0.9018
person, 0.9977
bottle, 0.9607
person, 0.9935
bottle, 0.9688
chair, 0.6728
person, 0.9971
bottle, 0.9642
person, 0.9939
bottle, 0.9677
person, 0.9980
bottle, 0.9823
person, 0.9889
bottle, 0.9606
chair, 0.5220
person, 0.9979
bottle, 0.9622
chair, 0.6014
person, 0.9878
bottle, 0.8614
chair, 0.5795
person, 0.9891
bottle, 0.9549
chair, 0.8000
person, 0.9912
bottle, 0.9731
chair, 0.8781
person, 0.9858
bottle, 0.9778
chair, 0.8826
person, 0.9890
bottle, 0.9308
chair, 0.8928
person, 0.9703
bottle, 0.8913
chair, 0.6843
person, 0.9938
bottle, 0.9618
chair, 0.8872
person, 0.9862
bottle, 0.9617
chair, 0.8638
person, 0.9957
bottle, 0.9701
chair, 0.8984
person, 0.9933
bottle, 0.9679
chair, 0.8499
person, 0.9951
bottle, 0.9488
chair, 0.8806
person, 0.9948
bottle, 0.9506
chair, 0.6514
person, 0.9974
bottle, 0.9660
chair, 0.7939
person, 0.9992
bottle, 0.9655
chair, 0.6013
chair, 0.5892
person, 0.9992
bottle, 0.9788
chair, 0.6969
person, 0.9994
bottle, 0.9627
chair, 0.7979
person, 0.9992
bottle, 0.9684
chair, 0.7511
chair, 0.6593
person, 0.9989
bottle, 0.9822
chair, 0.7832
chair, 0.5961
person, 0.9979
bottle, 0.9425
chair, 0.7317
person, 0.9986
bottle, 0.9630
chair, 0.8018
person, 0.9988
bottle, 0.9698
chair, 0.7357
person, 0.9986
bottle, 0.9758
chair, 0.7943
chair, 0.5772
person, 0.9991
bottle, 0.9660
chair, 0.7611
chair, 0.5119
person, 0.9985
bottle, 0.9542
chair, 0.7196
chair, 0.7174
person, 0.9985
bottle, 0.9834
chair, 0.7508
chair, 0.7323
person, 0.9984
bottle, 0.9778
chair, 0.5034
person, 0.9970
bottle, 0.9633
chair, 0.5256
person, 0.9934
bottle, 0.9864
person, 0.9917
bottle, 0.9655
laptop, 0.6280
person, 0.9965
bottle, 0.9566
chair, 0.7149
laptop, 0.6296
person, 0.9986
bottle, 0.9685
chair, 0.8068
chair, 0.7046
chair, 0.6243
laptop, 0.5947
person, 0.9994
chair, 0.9697
bottle, 0.9609
chair, 0.7655
chair, 0.7138
person, 0.9982
bottle, 0.9801
chair, 0.9181
person, 0.9975
bottle, 0.9741
person, 0.6713
chair, 0.6672
laptop, 0.5194
person, 0.9977
bottle, 0.9802
person, 0.9609
chair, 0.8188
chair, 0.5324
person, 0.9973
bottle, 0.9684
person, 0.9154
chair, 0.9036
person, 0.9975
bottle, 0.9703
chair, 0.8905
person, 0.8579
person, 0.9969
bottle, 0.9765
chair, 0.6355
laptop, 0.5428
person, 0.9986
bottle, 0.9738
laptop, 0.5324
person, 0.9990
bottle, 0.9799
person, 0.8907
chair, 0.8214
person, 0.9901
person, 0.9653
chair, 0.9437
bottle, 0.9360
person, 0.9864
person, 0.9728
chair, 0.9623
bottle, 0.9334
laptop, 0.5810
chair, 0.5315
person, 0.9899
person, 0.9874
chair, 0.9552
bottle, 0.9057
chair, 0.7374
chair, 0.6464
person, 0.9781
chair, 0.9680
bottle, 0.9624
chair, 0.7461
person, 0.9966
person, 0.9744
chair, 0.9699
bottle, 0.9054
laptop, 0.6602
chair, 0.5118
chair, 0.5074
person, 0.9974
person, 0.9770
chair, 0.9660
bottle, 0.9199
laptop, 0.6177
laptop, 0.5292
chair, 0.5026
chair, 0.5019
person, 0.9992
person, 0.9832
chair, 0.9382
bottle, 0.9275
chair, 0.6520
person, 0.9979
bottle, 0.9700
person, 0.9611
chair, 0.9570
chair, 0.6608
chair, 0.6591
person, 0.9976
bottle, 0.9701
chair, 0.9465
laptop, 0.5904
person, 0.9978
chair, 0.9710
bottle, 0.9653
chair, 0.5218
person, 0.9983
bottle, 0.9770
chair, 0.9276
laptop, 0.5426
chair, 0.5328
person, 0.9973
bottle, 0.9711
chair, 0.9412
laptop, 0.6377
laptop, 0.5853
person, 0.9969
bottle, 0.9797
chair, 0.8945
person, 0.9980
bottle, 0.9779
chair, 0.9721
person, 0.9962
bottle, 0.9790
chair, 0.9694
person, 0.7224
chair, 0.5115
person, 0.9974
chair, 0.9691
bottle, 0.9102
person, 0.9088
chair, 0.7284
chair, 0.5757
person, 0.9975
chair, 0.9584
bottle, 0.9285
person, 0.7672
person, 0.9931
chair, 0.9731
bottle, 0.9727
person, 0.9243
person, 0.9724
bottle, 0.9619
chair, 0.7851
chair, 0.6761
person, 0.9944
person, 0.9847
bottle, 0.9719
person, 0.9809
bottle, 0.9629
person, 0.9273
laptop, 0.5040
bottle, 0.9668
person, 0.9550
person, 0.8296
person, 0.9899
bottle, 0.9747
person, 0.9309
person, 0.9976
person, 0.9791
bottle, 0.9751
chair, 0.8478
chair, 0.5287
person, 0.9970
bottle, 0.9759
chair, 0.8915
chair, 0.8288
person, 0.8167
chair, 0.6502
person, 0.9973
bottle, 0.9788
chair, 0.9456
chair, 0.9081
person, 0.8490
chair, 0.5876
person, 0.9983
bottle, 0.9830
person, 0.7747
person, 0.9983
person, 0.9947
bottle, 0.9758
chair, 0.9561
chair, 0.8504
chair, 0.7045
person, 0.9964
chair, 0.9735
bottle, 0.9692
chair, 0.8849
chair, 0.8286
laptop, 0.5509
person, 0.9991
chair, 0.9703
person, 0.9458
laptop, 0.9417
bottle, 0.9187
chair, 0.8156
chair, 0.7649
laptop, 0.5035
person, 0.9991
bottle, 0.9666
chair, 0.9550
person, 0.9238
chair, 0.8142
chair, 0.7264
laptop, 0.5421
person, 0.9990
bottle, 0.9827
chair, 0.9681
chair, 0.7823
laptop, 0.6879
chair, 0.6523
person, 0.6411
person, 0.9990
bottle, 0.9839
chair, 0.9725
chair, 0.8289
chair, 0.7419
person, 0.9989
chair, 0.9756
bottle, 0.9718
chair, 0.8639
chair, 0.7157
person, 0.9993
bottle, 0.9779
chair, 0.9709
chair, 0.7916
chair, 0.6234
person, 0.9963
bottle, 0.9774
chair, 0.9689
chair, 0.8262
chair, 0.6129
person, 0.9925
bottle, 0.9689
chair, 0.9343
chair, 0.7047
chair, 0.5322
person, 0.9986
bottle, 0.9776
chair, 0.9684
chair, 0.8293
chair, 0.6026
person, 0.9992
bottle, 0.9686
chair, 0.9500
chair, 0.5688
chair, 0.5676
person, 0.9946
bottle, 0.9627
chair, 0.9300
chair, 0.7106
person, 0.9957
bottle, 0.9630
chair, 0.9526
chair, 0.7575
chair, 0.6392
person, 0.9959
bottle, 0.9697
chair, 0.9630
chair, 0.7911
chair, 0.7458
person, 0.9968
chair, 0.9672
bottle, 0.9641
chair, 0.8361
chair, 0.5083
person, 0.9968
bottle, 0.9817
chair, 0.9704
chair, 0.7584
chair, 0.5609
person, 0.9990
bottle, 0.9631
chair, 0.9622
chair, 0.7686
person, 0.9973
bottle, 0.9597
chair, 0.9590
chair, 0.6667
chair, 0.5788
person, 0.9982
bottle, 0.9811
chair, 0.9587
chair, 0.7650
chair, 0.5900
person, 0.9968
bottle, 0.9763
chair, 0.9625
chair, 0.7855
person, 0.7452
chair, 0.6954
person, 0.9982
bottle, 0.9791
chair, 0.9684
laptop, 0.9126
person, 0.8809
chair, 0.8387
chair, 0.7179
laptop, 0.5316
person, 0.9974
person, 0.9545
bottle, 0.9384
chair, 0.8605
person, 0.9955
bottle, 0.9797
person, 0.8217
chair, 0.7707
person, 0.9916
bottle, 0.9531
chair, 0.5564
person, 0.9871
bottle, 0.9646
chair, 0.6971
person, 0.9979
bottle, 0.9559
person, 0.7773
person, 0.9827
bottle, 0.9104
person, 0.9935
person, 0.9134
person, 0.9958
